score_phrase,title,url,score,genre,release_year,release_month,release_day
Amazing,Football Manager 2013,/games/football-manager-2013/mac-141666,9,"Sports, Simulation",2012,11,3
Amazing,The Walking Dead: The Game -- Episode 5: No Time Left,/games/the-walking-dead-season-1-episode-5/pc-135888,9.5,Adventure,2012,11,19
Amazing,The Walking Dead: The Game -- Episode 5: No Time Left,/games/the-walking-dead-season-1-episode-5/ipad-135885,9.5,Adventure,2012,11,19
Amazing,The Walking Dead: The Game -- Episode 5: No Time Left,/games/the-walking-dead-season-1-episode-5/mac-135889,9.5,Adventure,2012,11,19
Amazing,The Walking Dead: The Game -- Episode 5: No Time Left,/games/the-walking-dead-season-1-episode-5/ps3-135887,9.5,Adventure,2012,11,19
Amazing,Football Manager 2013,/games/football-manager-2013/pc-141663,9,"Sports, Simulation",2012,11,3
Good,Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/vita-135721,7.4,"Racing, Action",2012,11,2
Bad,Orgarhythm,/games/orgarhythm-133846/vita-130950,4.7,"Music, Action",2012,11,2
Good,Sports Champions 2,/games/sports-champions-2/ps3-135395,7.6,"Sports, Action",2012,11,2
Great,Kinect Party,/games/happy-action-theater-2/xbox-360-140195,8.5,Party,2012,12,20
Good,Sky Gamblers: Storm Raiders,/games/sky-gamblers-storm-raider/iphone-149216,7.1,Action,2012,12,19
Good,Oddworld: Stranger's Wrath HD,/games/oddworld-strangers-wrath/vita-110722,7.5,"Action, Adventure",2012,12,19
Good,AirBuccaneers,/games/airbuccaneers/pc-150858,7.5,Action,2012,12,19
Great,Theatrhythm Final Fantasy,/games/theatrhythm-final-fantasy/iphone-150082,8,"Music, Action",2012,12,19
Okay,Sing Party,/games/sing/wii-u-135741,6.3,Music,2012,12,18
Okay,Beatdown!,/games/beatdown/iphone-147890,6.3,"Fighting, Action",2012,11,19
Okay,Waking Mars,/games/waking-mars-148199/pc-148201,6.5,Action,2012,11,19
Okay,Waking Mars,/games/waking-mars-148199/iphone-129356,6.5,Action,2012,11,19
Amazing,Hitman: Absolution,/games/hitman-absolution/ps3-14348845,9,Action,2012,11,18
Amazing,Hitman: Absolution,/games/hitman-absolution/xbox-360-14348846,9,Action,2012,11,18
